PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
259.000,7.4666,7.4667,3.488099,3.488382,1.0464,1.2244,0.0408,0.1506,99.01,256.742,1.146,33.9661,33.9691,2.0306,1.9970,1027.7232,1027.7255,1483.41,1483.42,0.0000e+00
260.000,7.4633,7.4634,3.487887,3.488173,1.0457,1.2235,0.0322,0.1428,98.86,257.732,1.379,33.9666,33.9695,2.0279,1.9946,1027.7286,1027.7309,1483.42,1483.42,0.0000e+00
261.000,7.4603,7.4604,3.487688,3.487975,1.0459,1.2232,0.0297,0.1400,98.86,258.723,1.377,33.9669,33.9698,2.0297,1.9940,1027.7339,1027.7361,1483.42,1483.43,0.0000e+00
262.000,7.4576,7.4580,3.487503,3.487816,1.0449,1.2222,0.0407,0.1251,98.86,259.714,1.197,33.9671,33.9701,2.0265,1.9917,1027.7390,1027.7412,1483.43,1483.44,0.0000e+00
263.000,7.4551,7.4553,3.487348,3.487651,1.0446,1.2213,0.0331,0.1301,98.86,260.704,0.902,33.9673,33.9704,2.0242,1.9903,1027.7441,1027.7464,1483.44,1483.44,0.0000e+00
264.000,7.4485,7.4491,3.486852,3.487162,1.0435,1.2204,0.0228,0.1472,98.86,261.695,0.599,33.9680,33.9707,2.0200,1.9926,1027.7501,1027.7522,1483.43,1483.44,0.0000e+00
265.000,7.4451,7.4458,3.486606,3.486950,1.0422,1.2219,0.0219,0.1189,98.86,262.686,0.766,33.9681,33.9712,2.0157,1.9918,1027.7553,1027.7576,1483.43,1483.44,0.0000e+00
266.000,7.4436,7.4444,3.486507,3.486874,1.0417,1.2183,0.0258,0.2147,98.87,263.676,1.176,33.9680,33.9712,2.0151,1.9781,1027.7600,1027.7624,1483.44,1483.45,0.0000e+00
267.000,7.4418,7.4423,3.486440,3.486738,1.0416,1.2175,0.0315,0.1982,98.86,264.667,1.394,33.9685,33.9713,2.0156,1.9812,1027.7652,1027.7673,1483.46,1483.46,0.0000e+00
268.000,7.4422,7.4424,3.486492,3.486825,1.0408,1.2167,0.0291,0.1390,98.86,265.657,1.405,33.9683,33.9716,2.0102,1.9787,1027.7695,1027.7721,1483.47,1483.48,0.0000e+00
