stationid,latitude,longitude
C-18,55.671134819986186,-168.18915113948728
CC-01,64.34348075414782,-168.34191015082956
CC-02,64.33946194444444,-167.5806489814815
CC-03,64.3398329059829,-166.83302982905983
CC-04,64.333972,-166.028096
CC-05,64.33381142857144,-165.34185428571428
CC-06,64.32039,-164.51808428571428
CC-07,64.34272999999999,-163.80811
CC-08,64.24664,-163.15909
CC-09,64.33069,-162.3197
CC-10,64.32988,-161.60096
CC-18,64.32208162037037,-169.1049064351852
CC-19,64.30589518518518,-169.8272785185185
CC-20,64.29926384615385,-170.65210743589745
CC-21,64.286412,-171.20684649999998
D-01,55.99923131944444,-167.6154152858293
D-02,55.996394748427676,-167.00263410691824
D-03,55.99775680515298,-166.39674055152977
D-04,56.00580872587924,-165.786353898615
D-05,55.999718091133005,-165.17310071182266
D-06,55.99315732782056,-164.59149698785774
D-07,55.99601236329725,-164.02685862153058
D-08,56.00344435877039,-163.39403281914272
D-09,55.99477903886474,-162.81028957812603
D-10,56.00240993580594,-162.2480350227632
D-18,55.99898394031099,-168.2255854320583
DD-01,64.66590154411765,-168.35612602941177
DD-02,64.67222419607843,-167.6048785098039
DD-03,64.66581777777778,-166.83191777777776
DD-18,64.65441331140352,-169.14056826754387
DD-19,64.65226045454546,-169.8893515151515
DD-20,64.64931333333334,-170.64346833333335
E-01,56.33230139219864,-167.6505892343302
E-02,56.33757728715035,-167.03235202146465
E-03,56.33474447834275,-166.4174658847693
E-04,56.328336482362644,-165.80651104762296
E-05,56.33351396620425,-165.1989754454965
E-06,56.33089543161053,-164.58315692088013
E-07,56.340244332207924,-163.98587755235505
E-08,56.32271908770506,-163.41524270038732
E-09,56.33490429448661,-162.7872580206851
E-10,56.33662278758901,-162.18860918876106
E-11,56.3303901068412,-161.625141210263
E-12,56.337890306333236,-160.99181046928342
E-18,56.32934415809639,-168.2383168380722
E-19,56.331903144271124,-168.86159471754698
E-20,56.36528211510053,-169.41957843709758
E-21,56.33537869345627,-170.05279313714945
E-22,56.33201153679834,-170.66732182508662
EE-01,65.00424969474969,-168.34717293040293
EE-02,64.985246875,-167.62081833333335
EE-18,65.01686693181819,-169.11695924242426
EE-19,65.00627816091955,-169.9075716091954
F-01,56.665327326858105,-167.66946684923988
F-02,56.65960571414263,-167.0692823760016
F-03,56.66561930605817,-166.43787448155078
F-04,56.66860589955357,-165.8435654250992
F-05,56.66790643692019,-165.21422935804537
F-06,56.66966456510785,-164.59720612892283
F-07,56.66585521100164,-164.01006269369003
F-08,56.666647671848736,-163.3861811765029
F-09,56.6595280926186,-162.77972679528193
F-10,56.67566951428876,-162.1853889650265
F-11,56.666868136361614,-161.58165311114166
F-12,56.6621923151123,-160.97903613597185
F-13,56.669203703358484,-160.3610330367684
F-14,56.67345175201367,-159.74774876380945
F-18,56.65928217647058,-168.2993675296496
F-19,56.6762874721867,-168.90324079923272
F-20,56.673669080092594,-169.52190575216048
F-21,56.665162417004595,-170.1138324207894
F-22,56.66473683484505,-170.73202861085915
F-23,56.663268412698415,-171.34703798412698
F-24,56.6662549584054,-171.96128697896933
F-25,56.669751126404165,-172.56689481745386
FF-01,65.32387137500001,-168.3758475
FF-02,65.30386333333334,-167.73016555555554
FF-18,65.24546154166666,-168.90541491666667
G-01,56.99457813103325,-167.69854274783518
G-02,56.996957550338585,-167.08551324157725
G-03,57.00360611284694,-166.46270380232286
G-04,56.99477030019141,-165.84816582334503
G-05,57.00330158037173,-165.22387330678106
G-06,56.993202940761094,-164.60740171665313
G-07,56.99735649530897,-164.01552337290008
G-08,56.99872147779183,-163.38895837166677
G-09,56.999243438388184,-162.78780025342544
G-10,57.006734012577255,-162.16721916507467
G-11,56.99500759767655,-161.56618276605272
G-12,56.99424637258032,-160.95780522590454
G-13,57.003004856828014,-160.3382852677159
G-14,57.001242224411605,-159.69228104123334
G-15,57.00008688682565,-159.1303704792581
G-18,56.992517561945775,-168.33434417195258
G-19,57.00623135893145,-168.9517731882362
G-20,56.99485455814917,-169.55117423469824
G-21,57.00722612319419,-170.1781554225479
G-22,56.997257318889595,-170.780605116916
G-23,57.00265937400918,-171.39273584892575
G-24,57.00164157324741,-172.03445798791608
G-25,56.99955104278075,-172.64597474376114
G-26,56.993176570923,-173.24689282691713
GF1918,56.83046593839031,-168.6158478205128
GF2019,56.83412169481254,-169.2970442449634
GF2120,56.833326317244065,-169.86385116103824
GF2221,56.83111808454257,-170.46797230254512
H-01,57.32910691442252,-167.73982966739538
H-02,57.334331522234,-167.12362465979197
H-03,57.328497696495276,-166.4866267667781
H-04,57.33254060838696,-165.8688873507856
H-05,57.331126493337536,-165.23757112681506
H-06,57.335831906716415,-164.61699097399367
H-07,57.32923665188953,-164.0034474299211
H-08,57.330138403215635,-163.3822953221548
H-09,57.330829610607864,-162.76852147275022
H-10,57.34355535171446,-162.14929429093308
H-11,57.32300508468811,-161.53728023372344
H-12,57.32730122260184,-160.934779970366
H-13,57.33832905107852,-160.3014778025434
H-14,57.33649897100475,-159.6671357118406
H-15,57.32859392391217,-159.0660704173062
H-16,57.32339913385883,-158.41295852723016
H-18,57.32482087761453,-168.36770452457597
H-19,57.33916788228274,-168.98191368946507
H-20,57.327271544507184,-169.59979550905084
H-21,57.32529006280193,-170.23753830072462
H-22,57.34089700018981,-170.85831961932934
H-23,57.33016455312125,-171.47130718767508
H-24,57.33447834267241,-172.10127530028734
