EXPOCODE,CRUISE_ID,STATION_ID,EVENT_NO,NISKIN_NO,YEAR_UTC,MONTH_UTC,DAY_UTC,TIME_UTC,YEARDAY_UTC,LONGITUDE_DEC,LATITUDE_DEC,CTDPRS_DBAR,DEPTH_METER,CTDTMP_ITS90_DEG_C,TMP_REVERSING_DEG_C,CTDSAL_PSS78,CTDSAL_FLAG_W,SALINITY_PSS78,SALINITY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,TA_UMOL_KG,TA_FLAG_W,NITRATE_NITRITE_UMOL_KG,NITRATE_NITRITE_FLAG_W,SILICATE_UMOL_KG,SILICATE_FLAG_W,PHOSPHATE_UMOL_KG,PHOSPHATE_FLAG_W,original_filename,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,299,-999,4.76,-999,-999,33.881,2,100.4,2,2254.2,2,-999,9,36.2,2,68.6,2,2.59,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,398,-999,4.4,-999,-999,33.982,2,67.5,2,2288.1,2,-999,9,39.6,2,84.0,2,2.85,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,498,-999,4.05,-999,-999,34.077,2,45.0,2,2315.1,2,-999,9,41.7,2,98.8,2,3.01,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,598,-999,3.87,-999,-999,34.14,2,39.4,2,2331.4,2,-999,9,42.8,2,107.5,2,3.07,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,798,-999,3.39,-999,-999,34.258,2,25.5,2,2360.9,2,-999,9,43.5,2,126.4,2,3.15,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,998,-999,3.02,-999,-999,34.357,2,15.2,2,2381.5,2,-999,9,44.4,2,141.2,2,3.20,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,1195,-999,2.71,-999,-999,34.427,2,22.9,3,2390.8,2,-999,9,44.5,2,152.1,2,3.19,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,1493,-999,2.39,-999,-999,-999,9,-999,9,2384.7,2,-999,9,-999,2,-999,2,-999,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,1988,-999,1.94,-999,-999,34.585,2,62.8,2,2384.6,2,-999,9,42.0,2,170.3,2,2.99,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,2482,-999,1.72,-999,-999,34.605,2,69.8,3,2380.3,2,-999,9,41.5,2,171.1,2,2.93,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,2976,-999,1.58,-999,-999,34.654,2,107.8,2,2361.0,2,-999,9,39.2,2,171.8,2,2.76,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,16,3,-999,1990,5,13,1:42,133,-134.66,49.28,-999,3468,-999,1.57,-999,-999,34.661,2,120.2,2,2356.1,2,-999,9,38.5,2,172.6,2,2.71,2,1990-001-0003.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,0,-999,8.57,-999,-999,32.56,2,297.6,2,2018.6,2,-999,9,12.0,2,17.5,2,1.21,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,10,-999,8.57,-999,-999,32.56,2,298.6,2,2017.5,2,-999,9,12.0,2,17.5,2,1.21,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,20,-999,8.35,-999,-999,32.56,2,300.7,2,2017.7,2,-999,9,12.0,2,17.7,2,1.24,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,31,-999,7.93,-999,-999,32.556,2,301.8,2,2016.9,2,-999,9,12.1,2,17.7,2,1.23,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,51,-999,7.67,-999,-999,32.576,2,301.2,2,2021.2,2,-999,9,12.4,2,18.1,2,1.23,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,74,-999,6.15,-999,-999,32.632,2,301.8,2,2036.1,2,-999,9,14.6,2,19.4,2,1.36,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,100,-999,5.6,-999,-999,32.759,2,294.8,2,2052.0,2,-999,9,16.6,2,22.2,2,1.45,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,125,-999,5.11,-999,-999,33.352,2,260.5,2,2113.0,2,-999,9,21.4,2,30.5,2,1.71,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,151,-999,5.22,-999,-999,33.625,2,226.0,2,2145.5,2,-999,9,24.0,2,36.6,2,1.84,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,176,-999,5.32,-999,-999,33.786,2,174.8,2,2187.3,2,-999,9,28.2,2,47.3,2,2.07,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,201,-999,5.03,-999,-999,33.789,2,154.7,2,2207.7,2,-999,9,30.8,2,53.1,2,2.24,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,252,-999,4.61,-999,-999,33.812,2,121.7,2,2239.1,2,-999,9,34.4,2,58.5,2,2.49,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,302,-999,4.42,-999,-999,33.863,2,95.0,2,2264.0,2,-999,9,37.3,2,72.3,2,2.68,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,403,-999,4.21,-999,-999,33.978,2,65.7,2,2293.7,2,-999,9,39.8,2,86.3,2,2.91,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,505,-999,3.99,-999,-999,34.081,2,47.6,2,2317.7,2,-999,9,41.5,2,98.3,2,3.04,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,608,-999,3.78,-999,-999,34.159,2,33.6,2,2336.8,2,-999,9,42.5,2,109.0,2,3.08,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,813,-999,3.29,-999,-999,34.276,2,22.7,2,2361.9,2,-999,9,43.6,2,126.5,2,3.16,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,995,-999,2.99,-999,-999,34.35,2,17.4,2,2379.2,2,-999,9,44.1,2,137.2,2,3.21,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,1193,-999,2.73,-999,-999,34.413,2,18.4,2,2388.4,2,-999,9,44.6,2,147.9,2,3.21,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,1492,-999,2.41,-999,-999,34.48,2,25.8,2,2392.4,2,-999,9,44.2,2,156.7,2,3.18,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,1988,-999,1.93,-999,-999,34.574,2,59.5,2,2382.8,2,-999,9,42.3,2,165.4,2,3.02,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,2485,-999,1.72,-999,-999,34.616,2,85.2,2,2370.5,2,-999,9,40.7,2,167.4,2,2.89,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,2982,-999,1.58,-999,-999,34.638,2,113.8,2,2355.8,2,-999,9,39.2,2,166.4,2,2.77,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,3478,-999,1.53,-999,-999,34.661,2,125.6,2,2346.5,2,-999,9,37.8,2,166.4,2,2.69,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,20,5,-999,1990,5,14,15:36,134,-138.67,49.57,-999,3874,-999,1.53,-999,-999,34.67,2,132.1,2,-999,9,-999,9,37.8,2,168.3,2,2.68,2,1990-001-0005.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,0,-999,8.41,-999,-999,32.663,2,306.2,2,2032.7,2,-999,9,14.0,2,20.5,2,1.34,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,10,-999,8.39,-999,-999,32.663,2,303.6,2,2031.5,2,-999,9,14.0,2,20.4,2,1.35,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,20,-999,7.32,-999,-999,32.673,2,311.9,2,2033.7,2,-999,9,14.1,2,20.7,2,1.35,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,31,-999,6.93,-999,-999,32.672,2,311.9,2,2032.6,2,-999,9,14.3,2,20.8,2,1.35,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,51,-999,6.17,-999,-999,32.683,2,310.5,2,2043.3,2,-999,9,15.5,2,21.8,2,1.45,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,75,-999,5.5,-999,-999,32.693,2,307.2,2,2048.9,2,-999,9,16.3,2,22.7,2,1.49,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,100,-999,5.13,-999,-999,32.703,2,305.5,2,2055.8,2,-999,9,17.2,2,24.0,2,1.54,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,126,-999,4.8,-999,-999,32.753,2,301.2,2,2061.3,2,-999,9,18.1,2,25.5,2,1.58,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,151,-999,4.3,-999,-999,33.27,2,237.9,2,2139.2,2,-999,9,25.7,2,40.2,2,2.02,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,176,-999,4.22,-999,-999,33.639,2,182.6,2,2197.1,2,-999,9,30.6,2,52.9,2,2.29,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,202,-999,4.31,-999,-999,33.748,2,152.0,2,2221.7,2,-999,9,32.6,2,58.7,2,2.42,2,1990-001-0006.bot,,,,,,,,,,,,,,
