PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
107.000,7.6664,7.6668,3.495110,3.495463,0.1751,1.2018,98.96,106.140,0.991,33.9197,33.9231,2.5154,1026.9637,1026.9663,1481.62,1481.63,0.0000e+00
108.000,7.6596,7.6600,3.494848,3.495210,0.1730,1.1961,98.88,107.132,0.964,33.9231,33.9265,2.5107,1026.9718,1026.9745,1481.62,1481.62,0.0000e+00
109.000,7.6570,7.6573,3.494744,3.495108,0.1690,1.1981,98.88,108.123,0.670,33.9240,33.9276,2.5334,1026.9775,1026.9803,1481.63,1481.63,0.0000e+00
110.000,7.6554,7.6557,3.494747,3.495089,0.1599,1.1956,92.44,109.115,0.637,33.9251,33.9285,2.5102,1026.9832,1026.9858,1481.64,1481.64,0.0000e+00
111.000,7.6516,7.6519,3.494706,3.495049,0.1784,1.1931,84.71,110.107,0.951,33.9278,33.9312,2.4906,1026.9905,1026.9931,1481.64,1481.65,0.0000e+00
112.000,7.6425,7.6429,3.494164,3.494515,0.1695,1.1915,98.63,111.099,0.954,33.9304,33.9338,2.4771,1026.9984,1027.0010,1481.63,1481.64,0.0000e+00
113.000,7.6320,7.6318,3.493402,3.493702,0.1700,1.1859,98.88,112.090,0.606,33.9320,33.9354,2.4743,1027.0057,1027.0084,1481.61,1481.61,0.0000e+00
114.000,7.6163,7.6159,3.492033,3.492312,0.1477,1.1849,98.88,113.082,0.589,33.9319,33.9354,2.4710,1027.0126,1027.0153,1481.56,1481.57,0.0000e+00
115.000,7.6032,7.6037,3.490972,3.491326,0.1582,1.1810,92.52,114.074,1.052,33.9328,33.9361,2.4352,1027.0197,1027.0222,1481.53,1481.54,0.0000e+00
116.000,7.5679,7.5683,3.488260,3.488609,0.1714,1.1773,80.02,115.065,1.102,33.9375,33.9408,2.4157,1027.0331,1027.0357,1481.42,1481.43,0.0000e+00
117.000,7.5635,7.5640,3.486543,3.488662,0.1856,1.1733,97.43,116.057,0.738,33.9227,33.9452,2.3911,1027.0267,1027.0443,1481.40,1481.43,0.0000e+00
118.000,7.5655,7.5658,3.488883,3.489066,0.1858,1.1632,98.88,117.049,0.557,33.9456,33.9472,2.3787,1027.0490,1027.0502,1481.45,1481.46,0.0000e+00
119.000,7.5681,7.5683,3.489118,3.489454,0.1627,1.1617,98.88,118.040,1.082,33.9451,33.9486,2.3787,1027.0528,1027.0555,1481.48,1481.48,0.0000e+00
