PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
59.000,8.4397,8.4398,3.567312,3.567620,0.2632,1.3710,73.25,58.544,0.466,33.9647,33.9679,3.0949,1026.6638,1026.6662,1483.81,1483.82,0.0000e+00
60.000,8.4232,8.4228,3.565985,3.566246,0.2406,1.3669,50.23,59.537,0.575,33.9661,33.9693,3.0808,1026.6719,1026.6745,1483.77,1483.77,0.0000e+00
61.000,8.4171,8.4172,3.565491,3.565802,0.2506,1.3653,50.30,60.529,0.502,33.9663,33.9695,3.0804,1026.6775,1026.6800,1483.76,1483.77,0.0000e+00
62.000,8.4104,8.4100,3.565001,3.565262,0.2262,1.3566,54.32,61.521,0.444,33.9670,33.9702,2.9973,1026.6837,1026.6863,1483.76,1483.76,0.0000e+00
63.000,8.3879,8.3860,3.563397,3.563552,0.2570,1.3438,48.22,62.513,0.601,33.9713,33.9748,2.9172,1026.6951,1026.6981,1483.69,1483.69,0.0000e+00
64.000,8.3742,8.3729,3.562452,3.562661,0.2684,1.3294,47.36,63.505,0.595,33.9740,33.9775,2.8521,1026.7039,1026.7068,1483.66,1483.66,0.0000e+00
65.000,8.3654,8.3651,3.561900,3.562169,0.2564,1.3142,46.32,64.497,0.654,33.9762,33.9793,2.7953,1026.7115,1026.7140,1483.65,1483.65,0.0000e+00
66.000,8.3580,8.3583,3.561450,3.561766,0.2707,1.3000,45.19,65.489,0.551,33.9781,33.9812,2.7533,1026.7187,1026.7210,1483.64,1483.64,0.0000e+00
67.000,8.3516,8.3516,3.561103,3.561396,0.2362,1.2821,44.08,66.481,0.338,33.9801,33.9832,2.7194,1026.7258,1026.7282,1483.64,1483.64,0.0000e+00
68.000,8.3490,8.3489,3.561021,3.561313,0.2186,1.2690,43.19,67.473,0.457,33.9813,33.9845,2.6946,1026.7317,1026.7342,1483.64,1483.65,0.0000e+00
69.000,8.3459,8.3469,3.560875,3.561237,0.2456,1.2616,42.34,68.465,0.551,33.9823,33.9851,2.6683,1026.7375,1026.7396,1483.65,1483.66,0.0000e+00
70.000,8.3355,8.3349,3.560128,3.560377,0.2312,1.2530,41.26,69.458,0.454,33.9839,33.9872,2.6408,1026.7449,1026.7475,1483.63,1483.63,0.0000e+00
71.000,8.3204,8.3198,3.558994,3.559237,0.2375,1.2463,40.28,70.450,0.685,33.9860,33.9892,2.6292,1026.7534,1026.7560,1483.59,1483.59,0.0000e+00
72.000,8.3063,8.3059,3.557884,3.558119,0.2453,1.2430,39.37,71.442,0.693,33.9873,33.9902,2.6265,1026.7612,1026.7635,1483.56,1483.56,0.0000e+00
73.000,8.2995,8.2988,3.557365,3.557612,0.2376,1.2361,37.98,72.434,0.426,33.9879,33.9913,2.5720,1026.7672,1026.7700,1483.55,1483.55,0.0000e+00
